endTime,artistName,trackName,msPlayed,timePlayed,tipo
2020-07-19 00:38:00,Rosa Neon,Vai Devagar,218775,0 days 00:03:38.775000,música
2020-07-19 00:58:00,Rosa Neon,Brilho de Leão,19224,0 days 00:00:19.224000,música
2020-07-19 02:54:00,Jay Rock,Rotation 112th,212240,0 days 00:03:32.240000,música
2020-07-19 02:59:00,Childish Gambino,II. Earth: The Oldest Computer (The Last Night),282418,0 days 00:04:42.418000,música
2020-07-19 03:03:00,Beastie Boys,Paul Revere,220840,0 days 00:03:40.840000,música
2020-07-19 03:11:00,Kanye West,RoboCop,267961,0 days 00:04:27.961000,música
2020-07-19 03:12:00,Jaden,Summertime In Paris,9662,0 days 00:00:09.662000,música
2020-07-19 03:13:00,Jaden,P,10170,0 days 00:00:10.170000,música
2020-07-19 03:13:00,Dead Fish,O Outro do Outro (2019),106334,0 days 00:01:46.334000,música
2020-07-19 03:15:00,Jaden,P,105319,0 days 00:01:45.319000,música
2020-07-19 03:17:00,Jaden,I,130347,0 days 00:02:10.347000,música
2020-07-19 03:21:00,Jaden,N,231027,0 days 00:03:51.027000,música
2020-07-19 03:24:00,Jaden,K,136221,0 days 00:02:16.221000,música
2020-07-19 03:27:00,Jaden,B,186176,0 days 00:03:06.176000,música
2020-07-19 03:29:00,Jaden,L,143353,0 days 00:02:23.353000,música
2020-07-19 03:34:00,Jaden,U,285397,0 days 00:04:45.397000,música
2020-07-19 03:37:00,Jaden,E,203173,0 days 00:03:23.173000,música
2020-07-19 03:40:00,Jaden,Breakfast (feat. A$AP Rocky),184599,0 days 00:03:04.599000,música
2020-07-19 03:46:00,Jaden,Hope,360374,0 days 00:06:00.374000,música
2020-07-19 03:50:00,Jaden,Falcon (feat. Raury),223903,0 days 00:03:43.903000,música
2020-07-19 03:58:00,Jaden,Ninety,468168,0 days 00:07:48.168000,música
2020-07-19 04:07:00,Jaden,Lost Boy,569874,0 days 00:09:29.874000,música
2020-07-19 04:10:00,Jaden,Batman,184929,0 days 00:03:04.929000,música
2020-07-19 04:14:00,Jaden,Icon,220996,0 days 00:03:40.996000,música
2020-07-19 04:17:00,Jaden,Watch Me,154456,0 days 00:02:34.456000,música
2020-07-19 04:21:00,Jaden,Fallen,262474,0 days 00:04:22.474000,música
2020-07-19 04:26:00,Jaden,The Passion,269702,0 days 00:04:29.702000,música
2020-07-19 04:28:00,Jaden,George Jeff,137617,0 days 00:02:17.617000,música
2020-07-19 04:30:00,Jaden,Rapper,140631,0 days 00:02:20.631000,música
2020-07-19 04:34:00,Jaden,SYRE,234000,0 days 00:03:54,música
2020-07-19 04:43:00,Quin Kirchner,Batá Chop (edit),439071,0 days 00:07:19.071000,música
2020-07-19 06:47:00,THShow,THShow s02e40 - Deus viu!,636960,0 days 00:10:36.960000,podcast
2020-07-19 16:52:00,História Preta,O Negro no Futebol | 4.  A Voz do Preto,378840,0 days 00:06:18.840000,podcast
2020-07-19 17:18:00,THShow,THShow s02e40 - Deus viu!,395120,0 days 00:06:35.120000,podcast
2020-07-19 19:33:00,Jaden,Icon,1375,0 days 00:00:01.375000,música
2020-07-19 22:23:00,Jaden,Summertime In Paris,14178,0 days 00:00:14.178000,música
2020-07-19 22:29:00,Jaden,Summertime In Paris,258299,0 days 00:04:18.299000,música
2020-07-19 22:32:00,Jaden,Batman,184929,0 days 00:03:04.929000,música
2020-07-19 22:34:00,Jaden,Rollin Around,168626,0 days 00:02:48.626000,música
2020-07-19 22:39:00,Jaden,K,280720,0 days 00:04:40.720000,música
2020-07-19 22:42:00,Jaden,Way Up,153773,0 days 00:02:33.773000,música
2020-07-19 22:46:00,Jaden,NOIZE,247760,0 days 00:04:07.760000,música
2020-07-19 22:49:00,WILLOW,U KNOW,186426,0 days 00:03:06.426000,música
2020-07-19 22:52:00,Jaden,B,186175,0 days 00:03:06.175000,música
2020-07-19 23:00:00,Jaden,Ninety,468168,0 days 00:07:48.168000,música
2020-07-19 23:03:00,Jaden,GOKU,192880,0 days 00:03:12.880000,música
2020-07-19 23:09:00,Jaden,PCH,351202,0 days 00:05:51.202000,música
2020-07-19 23:12:00,Harry Hudson,Just Slide (feat. Jaden),159120,0 days 00:02:39.120000,música
2020-07-19 23:15:00,Jaden,SOHO,208493,0 days 00:03:28.493000,música
2020-07-19 23:19:00,"Tyler, The Creator",Pothole (feat. Jaden Smith),237000,0 days 00:03:57,música
2020-07-19 23:21:00,Young Thug,Sin (feat. Jaden Smith),117434,0 days 00:01:57.434000,música
2020-07-19 23:24:00,Aminé,Compensating (feat. Young Thug),197855,0 days 00:03:17.855000,música
2020-07-19 23:27:00,"Tyler, The Creator",Potato Salad,182493,0 days 00:03:02.493000,música
2020-07-19 23:32:00,Frank Ocean,Biking,277520,0 days 00:04:37.520000,música
2020-07-19 23:36:00,Frank Ocean,Dear April (Side A - Acoustic),231040,0 days 00:03:51.040000,música
2020-07-19 23:39:00,"Tyler, The Creator",NEW MAGIC WAND,195320,0 days 00:03:15.320000,música
2020-07-19 23:42:00,Aminé,SHINE,150000,0 days 00:02:30,música
2020-07-19 23:45:00,Kevin Abstract,Peach,176732,0 days 00:02:56.732000,música
2020-07-19 23:48:00,Jorja Smith,Be Honest (feat. Burna Boy),207030,0 days 00:03:27.030000,música
2020-07-19 23:52:00,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",207454,0 days 00:03:27.454000,música
2020-07-19 23:55:00,Brent Faiyaz,Poison,212992,0 days 00:03:32.992000,música
2020-07-19 23:58:00,Daniel Caesar,CYANIDE,194959,0 days 00:03:14.959000,música
2020-07-20 00:01:00,Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""",143830,0 days 00:02:23.830000,música
2020-07-20 00:05:00,Frank Ocean,White Ferrari,248807,0 days 00:04:08.807000,música
2020-07-20 00:08:00,Aminé,Riri,182138,0 days 00:03:02.138000,música
2020-07-20 00:12:00,Daniel Caesar,Japanese Denim,270846,0 days 00:04:30.846000,música
2020-07-20 00:15:00,"Tyler, The Creator",RUNNING OUT OF TIME,177226,0 days 00:02:57.226000,música
2020-07-20 00:19:00,Brent Faiyaz,Fuck The World (Summer in London),204390,0 days 00:03:24.390000,música
2020-07-20 00:24:00,Filipe Ret,TEDEBEEME,318918,0 days 00:05:18.918000,música
2020-07-20 00:27:00,Filipe Ret,A Libertina,168167,0 days 00:02:48.167000,música
2020-07-20 00:31:00,Filipe Ret,Gonê,212719,0 days 00:03:32.719000,música
2020-07-20 00:32:00,Filipe Ret,Paradoxo Mítico,61094,0 days 00:01:01.094000,música
2020-07-20 00:38:00,Anderson .Paak,Reachin' 2 Much (feat. Lalah Hathaway),355492,0 days 00:05:55.492000,música
2020-07-20 00:40:00,KAYTRANADA,Gray Area (feat. Mick Jenkins),139653,0 days 00:02:19.653000,música
2020-07-20 01:10:00,Anderson .Paak,Bubblin,28024,0 days 00:00:28.024000,música
2020-07-20 01:10:00,Vince Staples,So What? - Episode 01,117984,0 days 00:01:57.984000,música
2020-07-20 01:10:00,Vince Staples,So What? - Episode 01,149,0 days 00:00:00.149000,música
2020-07-20 01:13:00,Anderson .Paak,Bubblin,182734,0 days 00:03:02.734000,música
2020-07-20 01:17:00,Steve Lacy,N Side,224444,0 days 00:03:44.444000,música
2020-07-20 01:20:00,Thundercat,Dragonball Durag,181922,0 days 00:03:01.922000,música
2020-07-20 01:23:00,Isaiah Rashad,Why Worry,150561,0 days 00:02:30.561000,música
2020-07-20 01:25:00,Smino,Trina,141653,0 days 00:02:21.653000,música
2020-07-20 01:29:00,Free Nationals,On Sight,249453,0 days 00:04:09.453000,música
2020-07-20 01:29:00,SiR,Hair Down (feat. Kendrick Lamar),18541,0 days 00:00:18.541000,música
2020-07-20 01:33:00,SiR,Hair Down (feat. Kendrick Lamar),216933,0 days 00:03:36.933000,música
2020-07-20 01:37:00,SiR,LA Lisa (feat. Smino),220960,0 days 00:03:40.960000,música
2020-07-20 01:40:00,SiR,New Sky (feat. Kadhja Bonet),191973,0 days 00:03:11.973000,música
2020-07-20 01:45:00,SiR,LA,310733,0 days 00:05:10.733000,música
2020-07-20 01:48:00,SiR,The Recipe,178400,0 days 00:02:58.400000,música
2020-07-20 01:51:00,SiR,John Redcorn,187893,0 days 00:03:07.893000,música
2020-07-20 01:54:00,SiR,Fire,153560,0 days 00:02:33.560000,música
2020-07-20 01:57:00,SiR,Lucy's Love (feat. Lil Wayne),187533,0 days 00:03:07.533000,música
2020-07-20 02:00:00,SiR,Still Blue (feat. Jill Scott),185640,0 days 00:03:05.640000,música
2020-07-20 02:03:00,SiR,You Can't Save Me,174946,0 days 00:02:54.946000,música
2020-07-20 02:05:00,SiR,Wires In The Way,130213,0 days 00:02:10.213000,música
2020-07-20 02:08:00,SiR,Mood (feat. Zacari),191360,0 days 00:03:11.360000,música
2020-07-20 02:12:00,SiR,That's Why I Love You (feat. Sabrina Claudio),241746,0 days 00:04:01.746000,música
2020-07-20 02:15:00,SiR,Touch Down,175786,0 days 00:02:55.786000,música
2020-07-20 02:19:00,SiR,Still Blue (feat. Jill Scott),185640,0 days 00:03:05.640000,música
2020-07-20 02:22:00,Col3trane,Superpowers (with GoldLink),182082,0 days 00:03:02.082000,música
2020-07-20 02:24:00,Smino,Z4L (with Bari & Jay2),162590,0 days 00:02:42.590000,música
2020-07-20 02:28:00,Choker,Juno,231680,0 days 00:03:51.680000,música
2020-07-20 02:32:00,SiR,Something New,229218,0 days 00:03:49.218000,música
2020-07-20 02:35:00,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",201240,0 days 00:03:21.240000,música
2020-07-20 02:39:00,NxWorries,What More Can I Say,4977,0 days 00:00:04.977000,música
2020-07-20 02:39:00,Ari Lennox,Shea Butter Baby (with J. Cole),211610,0 days 00:03:31.610000,música
2020-07-20 02:44:00,Ari Lennox,Chicago Boy,288659,0 days 00:04:48.659000,música
2020-07-20 02:48:00,Ari Lennox,Static,251548,0 days 00:04:11.548000,música
2020-07-20 02:50:00,Ari Lennox,Pop,138438,0 days 00:02:18.438000,música
2020-07-20 02:53:00,Ari Lennox,Facetime,151674,0 days 00:02:31.674000,música
2020-07-20 02:57:00,Ari Lennox,Speak To Me,224636,0 days 00:03:44.636000,música
2020-07-20 03:02:00,Ari Lennox,Up Late,266934,0 days 00:04:26.934000,música
2020-07-20 03:06:00,Ari Lennox,Whipped Cream,288531,0 days 00:04:48.531000,música
2020-07-20 03:08:00,Ari Lennox,I Been,3197,0 days 00:00:03.197000,música
2020-07-20 06:01:00,THShow,THShow s02e40 - Deus viu!,1232860,0 days 00:20:32.860000,podcast
2020-07-20 06:51:00,Quem Somos Nós?,Episode 326: Crises e Transformações da Humanidade com Dante Gallian (o mundo antigo),1386520,0 days 00:23:06.520000,podcast
