Artista,Musica,Tempo,Data
Pineapple StormTv,"Poetas no Topo 3.3, Pt. 1",1534,2021-02-07 16:29
MV Bill,Estilo Vagabundo,5641,2021-02-07 16:29
ADL,Favela Vive 2,14610,2021-02-07 16:29
L7NNON,Ninguém (feat. MV BILL),202083,2021-02-07 16:33
Pineapple StormTv,"Poetas no Topo 3.3, Pt. 2",179182,2021-02-07 16:36
Fleezus,City Runners (feat. Kyan),166474,2021-02-07 16:38
LEALL,"Os Pitbull do Ano, Pt. 2",28017,2021-02-07 16:39
SD9,40°.40,114565,2021-02-07 16:41
Kyan,Chefin,3045,2021-02-07 16:41
VND,7 Balas / Dono da Rua,2497,2021-02-07 16:41
Flacko,Ai Calica,2188,2021-02-07 16:41
Fleezus,Revolta,196986,2021-02-07 16:44
LEALL,Criminal Influencer,115078,2021-02-07 16:46
KBrum,Voltei!,1030,2021-02-07 16:46
ABRONCA,Pras Bandidas,2637,2021-02-07 16:46
Elicê,Fazendo o Sinal,1876,2021-02-07 16:46
Thxuzz,Sosa Jr,20571,2021-02-07 17:03
Thxuzz,Sosa Jr,3671,2021-02-13 14:23
Thxuzz,Sosa Jr,5479,2021-02-13 14:23
Flacko,Ódio Puro da Polícia,4506,2021-02-13 14:24
Eloy Polemico,Ouro de Tolo,254214,2021-02-13 14:28
BK,Top Boys,193834,2021-02-16 19:10
Recayd Mob,Flack Jack,47,2021-02-16 19:11
Djonga,Vazio,3184,2021-02-16 19:11
Sain,Pronto,156,2021-02-16 19:11
Djonga,Lupa,1625,2021-02-16 19:11
Tober KGL,Inglória,61292,2021-02-16 19:11
BK,Almas,0,2021-02-16 19:11
BK,Almas,1997,2021-02-16 19:11
Recayd Mob,Plaqtudum,1652,2021-02-16 19:11
Kayuá,Contatos,3503,2021-02-16 19:11
Baco Exu do Blues,Esú,5353,2021-02-16 19:11
Coruja Bc1,Nóiz Memo,3169,2021-02-16 19:11
Pirâmide Perdida,Dispiei,1294,2021-02-16 19:11
Lil Fire 666,"Vida Loka, Pt.4",3590,2021-02-16 19:11
Lil Fire 666,"Vida Loka, Pt.4",290,2021-02-16 19:11
Recayd Mob,ÓhUhLança,0,2021-02-16 19:12
Akira Presidente,Fa7her (Remix),0,2021-02-16 19:12
Sain,Eu Sei Bem,0,2021-02-16 19:12
Nill,Loopers,1100,2021-02-16 19:12
MC Igu,Doko,4375,2021-02-16 19:12
Djonga,Esquimó,0,2021-02-16 19:12
Froid,Autoestima em Dó,0,2021-02-16 19:12
Luccas Carlos,Te Observando,1148,2021-02-16 19:12
Froid,Flow de Lázaro,157846,2021-02-16 19:14
Matuê,Celine,232,2021-02-16 19:15
BK,Take Your Little Vision,12005,2021-02-16 19:15
Rincon Sapiência,Linhas de Soco,3916,2021-02-16 19:15
Luccas Carlos,Fala,4454,2021-02-16 19:15
Baco Exu do Blues,Abre Caminho,2693,2021-02-16 19:15
Don L,Laje das Ilusões,1023,2021-02-16 19:15
Sain,Prato do Dia,2380,2021-02-16 19:15
Rincon Sapiência,Linhas de Soco,251726,2021-02-16 19:19
Baco Exu do Blues,Abre Caminho,39996,2021-02-16 19:31
WC no Beat,Trabalho Lindo,233,2021-02-19 21:29
Baco Exu do Blues,Abre Caminho,5897,2021-02-19 21:29
KK,1Nojo,3037,2021-02-19 21:30
Baco Exu do Blues,Tropicália,6007,2021-02-19 21:30
Akira Presidente,$$$$$$$,5560,2021-02-19 21:30
MC Igu,De Dust,2662,2021-02-19 21:30
Matuê,H. O. R. T. A,5845,2021-02-19 21:30
BK,Adeus,4408,2021-02-19 21:30
Nill,Wifi,4672,2021-02-19 21:30
MC Igu,Pharaoh,2788,2021-02-19 21:30
Matuê,Lama no Copo,2536,2021-02-19 21:30
Akira Presidente,Melhoria Gang,1657,2021-02-19 21:30
Don L,Beira de Piscina (Remix),5370,2021-02-19 21:30
BK,Castelos & Ruínas,249490,2021-02-19 21:34
Akira Presidente,Contas Pra Pagar,1014,2021-02-19 21:41
Makalister,Poetas no Topo 1,458,2021-02-19 21:41
MOB79,Atleta do Ano - Remix,390545,2021-02-19 21:41
Mr Break,Funeral Rmx,17244,2021-02-19 21:41
Baco Exu do Blues,Sujismundo,3287,2021-02-19 21:41
BK,Folhas,2786,2021-02-19 21:42
Mãolee,Dinheiro,1247,2021-02-19 21:42
Matuê,Urubus,2813,2021-02-19 21:42
Diomedes Chinaski,O Aprendiz,3457,2021-02-19 21:42
Pineapple StormTv,Aulas e Palestras,100795,2021-02-19 21:44
Fleezus,City Runners (feat. Kyan),19252,2021-02-19 21:44
LEALL,Criminal Influencer,68322,2021-02-19 21:45
KBrum,Voltei!,16735,2021-02-19 21:45
ABRONCA,Pras Bandidas,1950,2021-02-19 21:45
Elicê,Fazendo o Sinal,2337,2021-02-19 21:45
ABRONCA,Pras Bandidas,1219,2021-02-27 07:38
FBC,Levar a Sério,146898,2021-03-05 21:27
SD9,40°.40,196000,2021-03-05 21:30
Derxan,Chumbo,135464,2021-03-05 21:33
Fleezus,City Runners (feat. Kyan),166474,2021-03-05 21:35
Kyan,Chefin,53421,2021-03-05 21:36
VND,7 Balas / Dono da Rua,752,2021-03-05 21:36
VND,7 Balas / Dono da Rua,3857,2021-03-06 14:02
Baco Exu do Blues,Tropicália,4486,2021-03-06 14:03
Flacko,Ai Calica,42902,2021-03-06 14:03
Luiz Lins,Escama,3008,2021-03-06 14:06
Baco Exu do Blues,999,218446,2021-03-06 14:06
Coruja Bc1,Nóiz Memo,3708,2021-03-06 14:06
Pineapple StormTv,Aulas e Palestras,250,2021-03-06 14:07
Nunig,Noixx,27211,2021-03-06 14:07
Nunig,Noixx,4792,2021-03-06 14:07
Febem,CRIME,175163,2021-03-06 14:10
SD9,40°.40,45487,2021-03-06 14:13
FBC,Levar a Sério,146898,2021-03-06 14:13
FBC,SE EU NÃO TE CANTAR,158918,2021-03-06 14:16
Pineapple StormTv,Poetas no Topo 2,13006,2021-03-06 14:17
FBC,Auto Ajuda,170649,2021-03-06 14:19
Sidoka,Olha Pro Oclin,221473,2021-03-06 14:23
Djonga,Gelo (prod. Coyote Beatz),229088,2021-03-06 14:27
Garena Free Fire,Capa E Tchau,43462,2021-03-06 14:31
FBC,Frank & Tikão,228995,2021-03-06 14:31
FBC,17 Anos,215111,2021-03-06 14:35
Djonga,"Irmãos de Arma, Irmãos de Luta",1323,2021-03-06 14:36
FBC,pra você e pra mim,1128,2021-03-06 14:36
FBC,Baile de Ladrão,5368,2021-03-06 14:36
FBC,CONFIO,65517,2021-03-06 14:36
FBC,MONEY MANIN,179200,2021-03-06 14:40
FBC,Gameleira,33580,2021-03-06 14:41
FBC,se brotar,9752,2021-03-06 14:43
FBC,Superstar,125794,2021-03-06 14:43
FBC,IPHONE,231111,2021-03-06 14:47
FBC,Ela É Green,1471,2021-03-06 14:49
FBC,Levar a Sério,105635,2021-03-06 14:49
FBC,leve 3,35091,2021-03-06 15:06
FBC,leve 3,137344,2021-03-06 16:59
FBC,THC,90001,2021-03-06 17:01
FBC,THC,251806,2021-03-10 20:16
