Canal,Descrição do canal
5PFC M1L Gr4u,"Canal OFICIAL da melior página = 5PFC M1l Gr4u, como já disse a Dilma: Programa 5PFC M1l Gr4u é foda, o resto é moda!

""In Vuadora We Trust"""
Acabou de Acabar,Canal de análise de filmes (rápidas e lentas... Mais rápidas que lentas!)
amanda ramalho,
AntiCast,"Canal de vídeos do site AntiCast, o podcast de Design, Comunicação e Cultura"
Anões Em Chamas,Vídeos todas as TERÇAS e SEXTAS as 10:00h da manhã! (E de vez em quando algum vídeo solto pela semana... Mas sempre as 10:00h da manhã)
Beavacus,"I am a Doge streamer and Youtuber raised by Beavers.

***MERCH*** 
https://teespring.com/beavacus-tokyo-skyline-logo-co#pid=2&cid=2397&sid=back

***T W I T T E R**** for news, updates, and future GIVEAWAYS
https://twitter.com/beavacus 

***D O N A T I O N  L I N K***
https://streamlabs.com/beavacus

***HOW TO SPONSOR*** PERKS = HIGHER chances to WIN GIVEAWAYS,  INVITES to games, and RARE sponsor emojis
- only works via computer/laptop or Android phone users (not iphones)
- via computer, click on https://gaming.youtube.com/channel/UC5VvaB5xz7LqyxsSaLIn4qg then click JOIN button at RIGHT side
- via Android phone, on stream click on superchat button and choose to become a member/sponsor

***Top Single Tip Donators (USD)***
1. Lazy Mane $ 1,000!!!
2. AntwanAugustin $ 100.00!
3. Clay Tieman $ 100.00!
4. MonsterDJB $ 100.00!
5. Fatboy_863_ PSN $ 99.99!
6. Simon Song $ 99.00!
7. Mz Kuriyama $ 50.00
8. Doc Ice 2 $ 50.00
9. rustedpeace $ 50.00
10. Toon X $ 49.99"
Black Alien,
BRAZA,"BRAZA é
Danilo Cutrim – Guitarra e Voz
Nícolas Christ – Bateria
Pedro Lobo - Contra-Baixo e Voz
Vitor Isensee – Teclado e Voz

www.braza.com.br"
Cadê a chave?,"Nilce é jornalista,  empresária. Leon, mestre em Estudos Europeus e fissurado por ciência, conhecimento, cultura pop e todo tipo de Coisa de Nerd. Juntos, eles fazem do Cadê a Chave, o ponto de encontro diário para mais de um milhão de amigos, interessados em cinema, diversão, viagens, novas tecnologias, relacionamento, histórias e em rir dos tombos da vida. 
Quer fazer parte dessa comunidade? Chega mais! 
Para comercial: 
contato@coisadenerd.net"
Café Filosófico CPFL,"A TV Cultura em parceria com o Instituto CPFL deseja compartilhar as ideias de grandes pensadores (as) contemporâneos. Neste canal do Café Filosófico, você encontrará transmissão simultânea do programa, bem como o acervo das edições passadas."
Caique Izoton,"Oi! Eu falo sobre cinema, quadrinhos, games e outras nerdices.

Instagram: @caiqueizoton
Twitter: @caiqueizoton

Contato: caiqueizotoncontato@gmail.com"
Camisa 21,Nova casa da zuera! Se inscreve e ativa o sino pra não perder nada.
Campdogzz - Topic,
Canal Brasil,"Aqui você encontra tudo sobre cinema brasileiro, séries, programas, com diversidade e representatividade.
Dá uma olhada na nossa programação:

Segunda e Terça: Na íntegra (episódios/entrevistas emblemáticas de programas do Canal Brasil)
Quarta: Rapidinhas (vídeos curtos para deixar com gostinho de quero mais)
Quinta: Na íntegra #TBT (episódios clássicos na íntegra)
Sexta: Clipes de shows e de programas musicais

Acompanhe o Canal Brasil nas redes sociais:
Facebook: https://www.facebook.com/canal.brasil 
Instagram: http://instagram.com/canalbrasil 
Twitter: https://twitter.com/canalbrasil 
Podcasts: https://audioglobo.globo.com/canalbrasil/podcasts

Onde assistir:
Globoplay: https://globoplay.globo.com/canais/canal-brasil/
NET: canal 650 HD e canal 150 SD
Oi TV: canal 806 HD e canal 66 SD
SKY: canal 113 ou 513
Claro TV: canal 650 HD e canal 67 SD
GVT | Vivo TV: canal 103
Vivo TV (DTH): canal 806 HD  e 566 SD
Vivo TV (fibra | cabo) Canal 656 HD  e 156 SD"
Canal do Chef,"A GASTRONOMIA é um ramo que abrange a culinária, as bebidas, charutos, drinks, harmonizações, os materiais usados na alimentação e, em geral, todos os aspectos culturais a ela associados. 

Com duas pessoas formadas em Gastronomia (Gustavo Piffer e Nicolas Ramos) o Canal do Chef apresenta a arte da Gastronomia de uma forma fácil, prática e descontraída! 

Com o intuito de ensinar bases, receitas, dicas de todo este mundo Gastronômico. 





RECEITAS
DICAS
DRINKS
VINHOS
CERVEJAS
WHISKIES
CHARUTOS
HARMONIZAÇÕES
DESCONTRAÇÃO 


São as palavras chave do Canal!



Confira os vídeos e seja mais um amante desta Cultura!"
Canal do Pirulla,"Canal voltado às coisas que mais me interessam: ciência, religião e evolução.

Este canal faz parte da iniciativa Science Vlogs Brasil, um selo de qualidade colaborativo que reúne os divulgadores de ciência mais confiáveis do Youtube Brasil. Conheça todos os canais: youtube.com/c/sciencevlogsbrasil"
Canal VESH,Canal de Humor
Castro Brothers,"COMÉDIA, MÚSICA E GAMES

Vídeos novo toda semana! Entre para ver os dias certos no banner no topo."
Caue Moura,
Cebrap - Centro Brasileiro de Análise e Planejamento,
Chico Recomenda!,"Todo dia uma indicação nova! Filmes, séries, livros, canais, vídeos, podcasts.. Qualquer coisa.. Se eu gostei, vou indicar pra vcs aqui :)"
Chico Rezende,"Não compre, adote! :)"
Cid Cidoso,"Cid por parte de pai, Cidoso por parte da mãe. 
Sim, o carinha do Não Salvo


CONTATO COMERCIAL
comercial [arroba] naosalvo.com.br

\o/"
Ciência Bonita,Canal para falar sobre a beleza da ciência e a ciência da beleza.
Coisa de Nerd,"Somos Leon Martins e Nilce Moretto. Um casal que faz vídeos sobre games, tecnologia e ciência.

Neste canal, você encontrar a Gambiarra A Gente Aceita (GAGA), nossa série com review de Gadgets e afins. Também tem a Hora de Por Café, nossa série de entretenimento que conta com a participação do público, e as Perguntas Sobre a Vida, a Verdade e o Universo (PSVVU), nossa série sobre ciências, na qual tentamos responder perguntas enviadas pela audiência do canal.

Contatos comercial: contato@coisadenerd.net"
Criolo,criolo.net
Cultura Livre,"Apresentado por Roberta Martinelli, o Cultura Livre recebe artistas no estúdio. Eles tocam suas músicas, falam sobre a carreira e respondem perguntas da audiência. 

Transmissões ao vivo de sábado, às 18h15."
Curso em Vídeo,"Cursos em vídeo-aulas totalmente gratuitos, criados pelo Professor Gustavo Guanabara. 

Informações para contato: contato@cursoemvideo.com"
Danielle Silva - driverh,"A driverh é uma consultoria de Recolocação Profissional e Outplacement, especializada no relacionamento com as melhores e maiores empresas do mercado.

Nossa metodologia inovadora e assertiva, juntamente com nosso posicionamento de mercado original, se traduz em resultados concretos e transparentes: nossos assessorados recolocados nas melhores empresas do mercado.

Atualmente, a driverh é reconhecida por profissionais e empresas como uma das melhores assessorias para Recolocação e Outplacement do mercado brasileiro.

Em nosso canal do YouTube você encontrará o melhor e mais completo conteúdo do Brasil sobre Recolocação Profissional, Preparação para Entrevistas, Outplacement, Job Hunting, Processos Seletivos, e muito mais."
Davie504,"Italian guy who wants to share his passion for slapping the BASS.

Subscribe N O W"
