,Canal,Nome vídeo,Data
0,Python Engineer,Watched YouTube Data API Tutorial with Python - Analyze Channel Statistics - Part 1,2021-07-19 14:47:22.504
1,Programação Dinâmica,Watched Como abrir um dataset MUITO GRANDE no Pandas? | Respondendo comentários #2 | Análise de dados #14,2021-07-19 14:36:36.763
2,Programação Dinâmica,Watched VOCÊ SABE EXTRAIR INFORMAÇÕES DE DADOS? | Análise de Dados #1,2021-07-19 14:36:16.054
3,Programação Dinâmica,Watched MODIFICANDO o tamanho das COLUNAS de um DataFrame | Dica de Pandas #2,2021-07-19 14:34:28.727
4,Hashtag Programação,Watched Introdução a Análise de Dados com Python - [Primeiros Passos],2021-07-19 13:43:14.945
5,Prof. MURAKAMI - MATEMÁTICA RAPIDOLA,Watched GRÁFICO BOXPLOT 🔵 DIAGRAMA DE CAIXA,2021-07-19 13:15:24.711
6,Emicida,Watched Emicida - A ordem natural das coisas / Chiclete com banana - Ao Vivo part. Mc Tha #AmarEloAoVivo,2021-07-19 13:13:20.258
7,MrHG94,Watched The Strokes - Under Cover of Darkness (Reading 2011),2021-07-19 00:16:01.355
8,thestrokesVEVO,Watched The Strokes - You Only Live Once (Official Music Video),2021-07-19 00:12:14.994
9,Forfun,Watched Forfun - Aí Sim (Clipe Oficial),2021-07-19 00:11:18.828
10,Deck,Watched Forfun - Sigo O Som,2021-07-19 00:03:49.360
11,Forfun,Watched Forfun - Pra Sempre,2021-07-18 23:59:04.652
12,Forfun,Watched Forfun - Quando a alma transborda,2021-07-18 23:54:23.985
13,Forfun,Watched Forfun - Quando A Alma Transborda (DVD Ao Vivo no Circo Voador),2021-07-18 23:48:47.790
14,valtexxxxx,Watched Toca Forfun Aí! - Valter Fernandes Filho (Banda Dubohm) - Quando a alma transborda,2021-07-18 23:44:53.682
15,"RAP, falando","Watched DJONGA + KYAN | rap, falando: podcast #01",2021-07-18 12:58:12.619
16,Desimpedidos,Watched TOP 10 MELHORES COMEMORAÇÕES - FRED +10,2021-07-17 22:50:19.242
17,"Cortes Nem, Amigos! [OFICIAL]","Watched MIL GRAU E FRED SÃO INIMIGOS? - #00 NEM, AMIGOS!",2021-07-17 16:47:11.664
18,FALACADABRA PODCAST,Watched CAUÊ MOURA | Falacadabra Podcast #20,2021-07-17 16:46:36.397
19,"Nem, Amigos Podcast","Watched #03 - BOLIVIA - Nem, Amigos Podcast",2021-07-17 16:29:13.537
20,"Cortes Nem, Amigos! [OFICIAL]",Watched BOLIVIA FICOU RICO NO DESIMPEDIDOS? - CORTES DO NEM  AMIGOS PODCAST,2021-07-17 16:26:01.892
21,Fala Bandana,"Watched Live de Terça - Com Caio Alves, da ESPN",2021-07-16 23:32:08.515
22,Camisa 21,Watched APRESENTADOR DO CAMISA 21 INVADE SHOW!,2021-07-16 23:15:16.871
23,Música Multishow,Watched Xamã - Faroeste Caboclo (Legião Urbana) | Versões By Ballantine's,2021-07-16 23:13:48.507
24,withcindy,Watched Finishing A Court of Silver Flames by taking a bath in faerie soap d*** & having a mental breakdown,2021-07-16 22:20:30.631
25,Panelaço,Watched QUEIJO DE AMENDOIM com DJ Zé Gonzales - Panelaço,2021-07-16 15:29:20.864
26,Nando Reis,"Watched Nando Reis - Luz dos Olhos - Lembranças da turnê ""Esse Amor Sem Preconceito""",2021-07-16 15:18:59.320
27,MOV,Watched Por Que a VIÚVA NEGRA Foi Criada Como VILÃ? | #REF com @Caique Izoton,2021-07-16 15:18:24.711
28,adsense,Watched Monstros no Trabalho Disney+,2021-07-16 15:18:00.557
29,Programe Python,Watched Python PANDAS - Como substituir dados ou partes da string no dataframe,2021-07-16 14:38:10.152
30,Finxter - Create Your Coding Business,Watched Python Regex Sub - How to Replace a Pattern in a String?,2021-07-16 14:36:46.490
31,The Coding Train,Watched 2.9: Regular Expressions: replace() - Programming with Text,2021-07-16 14:27:14.420
32,"Cortes Nem, Amigos! [OFICIAL]",Watched O DESIMPEDIDOS ACABOU? - CORTES DO NEM AMIGOS PODCAST,2021-07-16 14:25:55.881
33,Código Fonte TV,Watched Mostramos nossas Extensões no VS Code // Mão no Código #4,2021-07-15 23:12:19.616
