,Canal,Nome vídeo,Data
0,Xperimental Learning,Watched Python - How to extract Time from Timestamp using Pandas ?,2021-07-24 18:37:18.714
1,Mr Fugu Data Science,"Watched HOW TO CONVERT NESTED JSON TO DATA FRAME WITH PYTHON CREATE FUNCTION TO STORE NESTED, UN-NESTED DATA",2021-07-24 15:53:30.574
2,Elizabete dos reis,Watched como fazer pizza com aveia fácil   simples e deliciosa,2021-07-24 15:05:57.118
3,Alex Granig - Versão FIT,Watched PIZZA FIT LOW CARB SEM GLÚTEN SUPER SAUDÁVEL,2021-07-24 15:02:47.903
4,Flavio Giusti,Watched 20 FONTES DE PROTEÍNA VEGANA BARATA $$$ #VEGANOPOBRE,2021-07-24 15:02:19.231
5,TÁ NA MESA VEGG,Watched MASSA DE PIZZA VEGANA | SUPER FÁCIL | TNM Vegg,2021-07-24 15:00:49.912
6,Déborah Mesquita,Watched [Data Science em Português] Ler json com values aninhados (pandas),2021-07-24 12:57:49.490
7,Programação Dinâmica,Watched Construindo uma Lista Encadeada em Python | Estruturas de Dados #5,2021-07-24 04:45:43.703
8,Aprendiz Moderno,Watched O que faz e quanto ganha um Analista de Dados,2021-07-24 00:02:55.595
9,Noureddin Sadawi,Watched 23- Pandas DataFrames: Creating a DataFrame from a JSON Object,2021-07-23 05:17:29.234
10,adsense,Watched Seleção Netshoes 2021,2021-07-23 04:24:40.041
11,Guilherme Mendes,"Watched TED: Simon Sinek - ""The Golden Circle"" - Legendado em Português (resumo)",2021-07-23 02:54:05.954
12,Rogério Nichio,Watched COMECE PELO PORQUÊ - Como Grandes Líderes Inspiram Ação | Simon Sinek - TED Talks [Legendado],2021-07-23 02:54:01.168
13,Programe Python,Watched Python PANDAS - Como unir dataframes com JOIN,2021-07-23 02:46:43.403
14,QSOFT ACADEMY,Watched Análises na dica de ferramenta - Tableau Drops #7,2021-07-22 22:25:20.215
15,Programe Python,"Watched Python PANDAS - INDÍCE: como modificar, adicionar e resetar",2021-07-22 03:24:39.622
16,CANAL SANDECO,Watched PANDAS #04 - ALTERANDO INDEX NO DATAFRAME,2021-07-22 03:22:20.691
17,Programe Python,Watched Python PANDAS - Como utilizar FUNÇÕES no dataframe,2021-07-22 01:26:06.331
18,Guilherme Mendes,"Watched TED: Simon Sinek - ""The Golden Circle"" - Legendado em Português (resumo)",2021-07-21 21:16:47.658
19,Marcelo Ballejo Meirelles,Watched Como criar modelos de análise de acordo com o princípio M.E.C.E.,2021-07-21 04:45:58.563
20,Eurico Gushi Criaviva,Watched Princípio da Pirâmide de Minto e a Facilitação do IDM,2021-07-21 04:44:41.510
21,curadoriadeconhecimento,Watched Princípio MECE,2021-07-21 04:26:14.631
22,Invento na Hora,"Watched NÃO VOU DAR UM CARRO PRO MEU PAI, VOU FAZER ALGO MUITO MELHOR...",2021-07-21 01:18:18.251
23,EstaTiDados,Watched Trabalhando com Datas no Pandas - Prof  Fernanda Santos,2021-07-20 19:19:39.315
24,Já contei? por Ju Nogueira,"Watched 🔥Pyong Lee TRAI Sammy, que XINGA AMANTE mas ARREGA E APAGA TUDO, Antonella vai processar e ele NEGA",2021-07-20 14:43:01.148
25,Invento na Hora,Watched PULEI NA PISCINA COM A KIARA,2021-07-20 04:17:41.584
26,Invento na Hora,Watched VOU DAR UM CARRO ZERO PRO MEU PAI SEM ELE SABER !,2021-07-20 03:56:51.853
27,Bóson Treinamentos,Watched Dicas de aprendizado de Inglês para estudantes de Tecnologia,2021-07-19 15:29:42.997
28,Diolinux,Watched Curso de INGLÊS focado em PROFISSIONAIS DE T.I.,2021-07-19 15:22:03.531
29,Igor Lemões,Watched Como Ler Um Arquivo Json No Python,2021-07-19 01:20:50.769
30,iFood,Watched Super Restaurantes iFood | Mel Prazer,2021-07-18 15:05:54.624
31,iFood,Watched iFood Gourmet | Adega Santiago,2021-07-18 15:05:44.824
32,iFood,Watched iFood Gourmet | Banana Verde,2021-07-18 15:05:38.675
33,iFood,Watched iFood Gourmet | Cortés,2021-07-18 15:05:05.154
34,iFood,Watched Pede um iFood,2021-07-18 15:04:49.469
35,iFood,Watched iFood Investigation,2021-07-18 15:04:21.941
36,iFood,Watched Faça Seu Pedido no App iFood,2021-07-18 15:04:06.616
37,iFood,Watched Faça Seu Pedido no App iFood,2021-07-18 15:03:28.459
38,iFood,Watched iFood Salva,2021-07-18 15:03:14.084
39,iFood,Watched iFood Salva,2021-07-18 15:02:43.621
40,iFood,Watched iFood Salva,2021-07-18 15:02:13.107
41,iFood,Watched iFood Salva,2021-07-18 15:01:42.713
42,iFood,Watched iFood Salva,2021-07-18 15:01:12.295
43,iFood,Watched Faça Seu Pedido no App iFood,2021-07-18 15:01:04.696
44,iFood,Watched Faça Seu Pedido no App iFood,2021-07-18 15:00:44.622
45,iFood,Watched Faça Seu Pedido no App iFood,2021-07-18 15:00:37.209
46,iFood,Watched iFood Zone,2021-07-18 15:00:03.009
47,iFood,Watched iFood Zone,2021-07-18 14:59:01.826
48,iFood,Watched Faça Seu Pedido no App iFood,2021-07-18 14:58:43.721
49,iFood Universo,Watched Como é trabalhar em Data? | iFood | Legenda em inglês,2021-07-18 14:58:10.696
50,adsense,Watched https://www.youtube.com/watch?v=DizqhaJL4Es,2021-07-17 19:08:54.831
51,João Gomes Cantor,Watched SE FOR AMOR - João Gomes e Vitor Fernandes (DVD Ao Vivo em Fortaleza),2021-07-17 19:08:48.792
52,iFood Universo,Watched Como é trabalhar em Data? | iFood | Legenda em inglês,2021-07-17 17:39:16.858
53,Microsoft Education,Watched What is Microsoft 365 Education?,2021-07-17 08:44:32.106
54,Super Schoolhouse,Watched Google Apps for Education Tutorial,2021-07-17 08:40:07.174
55,POR DENTRO E POR FORA MOTOS,Watched SHINERAY CROSS 50 2019 PREÇO VERSÕES E CORES,2021-07-17 07:45:28.794
56,Canal Marcos Shineray Motos,Watched #Shineray-#Cinquentinha Cross 50 2020 Top Speed,2021-07-17 07:45:15.939
57,Análise Rápida,Watched VEICULOS ELÉTRICOS - PRECISA DE HABILITAÇÃO E EMPLACAR ?,2021-07-17 07:39:57.435
58,Invento na Hora,Watched COMPREI UM PATINETE TURBO QUE CHEGA A 86KM/H 😱,2021-07-17 07:22:16.921
59,Passo a Passo Empreendedor,Watched A HISTÓRIA DO IFOOD,2021-07-16 16:03:25.688
60,Assertiva Soluções,Watched [Employer Branding] Por dentro da Cultura do Ifood - Assertiva Day 2019,2021-07-16 15:28:05.934
61,Nutricionista Patricia Leite,Watched Benefícios Maca Peruana - Para Que Serve e Como Tomar [EFEITOS COLATERAIS?],2021-07-16 15:05:46.031
